08:21:13.11,-560,1080,328
08:21:13.11,-1352,1648,352
08:21:13.11,-1208,608,248
08:21:13.11,-1048,432,408
08:21:13.11,-1112,320,448
08:21:13.11,-984,432,400
08:21:13.11,-840,648,320
08:21:13.11,-704,576,256
08:21:13.11,-728,552,176
08:21:13.11,-776,504,144
08:21:13.11,-984,496,152
08:21:13.11,-1096,520,144
08:21:13.11,-1128,536,120
08:21:13.11,-1064,440,80
08:21:13.11,-1032,408,72
08:21:13.11,-1008,368,32
08:21:13.11,-1032,328,0
08:21:13.11,-992,208,8
08:21:13.11,-976,160,8
08:21:13.11,-944,176,-16
08:21:13.11,-976,240,-40
08:21:13.11,-960,256,-48
08:21:13.11,-1008,224,-24
08:21:13.11,-1016,152,-24
08:21:13.11,-1024,112,-16
08:21:14.14,-1016,160,-8
08:21:14.14,-1016,200,-8
08:21:14.14,-1016,168,-8
08:21:14.14,-1032,192,8
08:21:14.14,-1016,200,0
08:21:14.14,-1024,240,8
08:21:14.14,-992,224,24
08:21:14.14,-1016,224,0
08:21:14.14,-992,240,-8
08:21:14.14,-992,240,-24
08:21:14.14,-984,232,-32
08:21:14.14,-1008,224,-40
08:21:14.14,-1016,224,-72
08:21:14.14,-1008,224,-72
08:21:14.14,-992,208,-64
08:21:14.14,-1000,232,-48
08:21:14.14,-992,224,-56
08:21:14.14,-968,232,-32
08:21:14.14,-984,248,-56
08:21:14.14,-968,240,-48
08:21:14.14,-1000,248,-40
08:21:14.14,-1008,248,-64
08:21:14.14,-1000,256,-64
08:21:14.14,-1008,272,-56
08:21:14.14,-992,272,-40
08:21:15.16,-976,280,-32
08:21:15.16,-976,264,-24
08:21:15.16,-1000,280,-24
08:21:15.16,-992,288,-16
08:21:15.16,-1016,280,-32
08:21:15.16,-1008,288,-16
08:21:15.16,-1024,296,-24
08:21:15.16,-1096,336,-24
08:21:15.16,-1000,320,16
08:21:15.16,-928,352,32
08:21:15.16,-920,352,48
08:21:15.16,-928,352,72
08:21:15.16,-920,320,56
08:21:15.16,-936,352,88
08:21:15.16,-936,352,80
08:21:15.16,-888,392,80
08:21:15.16,-912,408,104
08:21:15.16,-952,424,104
08:21:15.16,-992,448,120
08:21:15.16,-1032,424,128
08:21:15.16,-976,384,120
08:21:15.16,-960,344,128
08:21:15.16,-904,328,104
08:21:15.16,-920,320,96
08:21:15.16,-888,304,80
