00:53.837	,-1040,-192,-32
00:53.837	,-1040,-208,24
00:53.837	,-1040,-200,32
00:53.837	,-1032,-224,64
00:53.837	,-1032,-216,72
00:53.837	,-1016,-216,64
00:53.837	,-1000,-224,72
00:53.837	,-1048,-240,40
00:53.837	,-1040,-200,24
00:53.837	,-1040,-240,24
00:53.837	,-992,-216,32
00:53.837	,-936,-224,24
00:53.837	,-944,-240,64
00:53.837	,-968,-216,72
00:53.837	,-968,-232,72
00:53.837	,-984,-232,104
00:53.837	,-1032,-240,136
00:53.837	,-1048,-248,168
00:53.837	,-1064,-240,184
00:53.837	,-1048,-216,192
00:53.837	,-984,-216,192
00:53.837	,-992,-224,192
00:53.837	,-984,-216,192
00:53.837	,-1000,-232,160
00:53.837	,-1000,-232,144
00:54.861	,-984,-224,120
00:54.861	,-960,-216,104
00:54.861	,-944,-224,88
00:54.861	,-952,-224,96
00:54.861	,-960,-232,88
00:54.861	,-976,-240,96
00:54.861	,-976,-240,104
00:54.861	,-1000,-240,128
00:54.861	,-992,-240,144
00:54.861	,-1008,-240,144
00:54.861	,-1064,-232,144
00:54.861	,-1112,-224,144
00:54.861	,-1088,-200,144
00:54.861	,-1040,-200,120
00:54.861	,-1032,-176,120
00:54.861	,-984,-160,104
00:54.861	,-952,-152,80
00:54.861	,-1016,-152,64
00:54.861	,-1040,-128,32
00:54.861	,-1056,-120,8
00:54.861	,-1000,-128,-16
00:54.861	,-976,-144,-8
00:54.861	,-928,-168,0
00:54.861	,-952,-192,24
00:54.861	,-984,-216,16
00:55.836	,-984,-216,56
00:55.836	,-984,-232,72
00:55.836	,-984,-272,88
00:55.836	,-936,-264,128
00:55.836	,-984,-272,112
00:55.836	,-1056,-296,104
00:55.836	,-1056,-288,112
00:55.836	,-1072,-288,104
00:55.836	,-1144,-296,80
00:55.836	,-1088,-256,72
00:55.836	,-1048,-240,80
00:55.836	,-944,-224,96
00:55.836	,-912,-184,80
00:55.836	,-928,-104,80
00:55.836	,-1032,-104,88
00:55.836	,-1072,-80,104
00:55.836	,-1016,-136,136
00:55.836	,-976,-136,144
00:55.836	,-976,-128,144
00:55.836	,-952,-168,144
00:55.836	,-960,-184,136
00:55.836	,-944,-224,136
00:55.836	,-920,-192,128
00:55.836	,-960,-224,128
00:55.836	,-1008,-232,112
00:56.860	,-992,-232,120
00:56.860	,-992,-256,128
00:56.860	,-1024,-240,144
00:56.860	,-1040,-248,152
00:56.860	,-1056,-248,160
00:56.860	,-1104,-248,152
00:56.860	,-1152,-232,160
00:56.860	,-1072,-200,112
00:56.860	,-1032,-200,104
00:56.860	,-984,-176,80
00:56.860	,-1016,-160,56
00:56.860	,-1024,-144,16
00:56.860	,-1040,-144,-8
00:56.860	,-1024,-120,-40
00:56.860	,-1000,-96,-40
00:56.860	,-944,-96,-24
00:56.860	,-960,-112,-8
00:56.860	,-984,-136,-16
00:56.860	,-976,-160,40
00:56.860	,-984,-192,32
00:56.860	,-1008,-232,72
00:56.860	,-1008,-248,80
00:56.860	,-1000,-248,104
00:56.860	,-1016,-240,120
00:56.860	,-1024,-240,128
00:57.885	,-1000,-264,136
00:57.885	,-960,-288,120
00:57.885	,-1024,-272,88
00:57.885	,-1072,-280,80
00:57.885	,-1112,-256,48
00:57.885	,-1112,-248,40
00:57.885	,-992,-240,72
00:57.885	,-968,-216,88
00:57.885	,-992,-168,64
00:57.885	,-992,-128,80
00:57.885	,-1008,-104,88
00:57.885	,-1024,-120,104
00:57.885	,-1032,-128,112
00:57.885	,-1040,-112,120
00:57.885	,-1016,-152,144
00:57.885	,-944,-144,152
00:57.885	,-920,-176,168
00:57.885	,-944,-208,152
00:57.885	,-984,-224,160
00:57.885	,-1000,-216,152
00:57.885	,-1024,-216,144
00:57.885	,-1000,-224,136
00:57.885	,-968,-224,120
00:57.885	,-968,-240,112
00:57.885	,-976,-240,104
00:58.861	,-976,-240,96
00:58.861	,-984,-256,120
00:58.861	,-1000,-240,104
00:58.861	,-1040,-216,120
00:58.861	,-1056,-208,104
00:58.861	,-1160,-192,112
00:58.861	,-1104,-168,120
00:58.861	,-1080,-160,80
00:58.861	,-1000,-136,96
00:58.861	,-1008,-152,88
00:58.861	,-1072,-104,64
00:58.861	,-1048,-112,56
00:58.861	,-1032,-56,32
00:58.861	,-1000,-80,16
00:58.861	,-976,-88,-16
00:58.861	,-944,-120,16
00:58.861	,-976,-144,8
00:58.861	,-1016,-160,16
00:58.861	,-976,-192,24
00:58.861	,-960,-200,40
00:58.861	,-992,-224,56
00:58.861	,-960,-208,64
00:58.861	,-984,-224,64
00:58.861	,-1040,-216,64
00:58.861	,-1040,-248,72
00:59.884	,-1032,-272,64
00:59.884	,-1104,-288,48
00:59.884	,-1168,-296,40
00:59.884	,-1152,-264,48
00:59.884	,-1048,-288,72
00:59.884	,-896,-296,96
00:59.884	,-904,-264,104
00:59.884	,-976,-224,88
00:59.884	,-1064,-208,80
00:59.884	,-1136,-168,80
00:59.884	,-1136,-200,88
00:59.884	,-1104,-192,96
00:59.884	,-1096,-160,88
00:59.884	,-1032,-128,104
00:59.884	,-936,-144,120
00:59.884	,-888,-184,120
00:59.884	,-840,-200,144
00:59.884	,-864,-192,168
00:59.884	,-888,-160,152
00:59.884	,-928,-176,160
00:59.884	,-944,-200,160
00:59.884	,-992,-224,160
00:59.884	,-1056,-216,144
00:59.884	,-1112,-208,136
00:59.884	,-1096,-200,128
01:00.957	,-1104,-296,88
01:00.957	,-1088,-296,96
01:00.957	,-1056,-280,96
01:00.957	,-1016,-272,104
01:00.957	,-960,-240,112
01:00.957	,-976,-232,104
01:00.957	,-1088,-232,72
01:00.957	,-1160,-192,64
01:00.957	,-1096,-168,48
01:00.957	,-1088,-152,32
01:00.957	,-1056,-144,24
01:00.957	,-1024,-144,24
01:00.957	,-992,-152,24
01:00.957	,-952,-160,24
01:00.957	,-904,-184,40
01:00.957	,-904,-200,56
01:00.957	,-920,-224,80
01:00.957	,-960,-256,80
01:00.957	,-1008,-272,96
01:00.957	,-1056,-264,80
01:00.957	,-1120,-256,32
